번호,위도,경도,구간거리(m),누적거리(m)
1,37.566535,126.977969,0.00,0.00
2,37.566612,126.978145,22.45,22.45
3,37.566689,126.978321,22.45,44.90
4,37.566766,126.978497,22.45,67.35
5,37.566843,126.978673,22.45,89.80
6,37.566920,126.978849,22.45,112.25
7,37.566997,126.979025,22.45,134.70
8,37.567074,126.979201,22.45,157.15
9,37.567151,126.979377,22.45,179.60
10,37.567228,126.979553,22.45,202.05
11,37.567305,126.979729,22.45,224.50
12,37.567382,126.979905,22.45,246.95
13,37.567459,126.980081,22.45,269.40
14,37.567536,126.980257,22.45,291.85
15,37.567613,126.980433,22.45,314.30
16,37.567690,126.980609,22.45,336.75
17,37.567767,126.980785,22.45,359.20
18,37.567844,126.980961,22.45,381.65
19,37.567921,126.981137,22.45,404.10
20,37.567998,126.981313,22.45,426.55
21,37.568075,126.981489,22.45,449.00
22,37.568152,126.981665,22.45,471.45
23,37.568229,126.981841,22.45,493.90
24,37.568306,126.982017,22.45,516.35
25,37.568383,126.982193,22.45,538.80
26,37.568460,126.982369,22.45,561.25
27,37.568537,126.982545,22.45,583.70
28,37.568614,126.982721,22.45,606.15
29,37.568691,126.982897,22.45,628.60
30,37.568768,126.983073,22.45,651.05
31,37.568845,126.983249,22.45,673.50
32,37.568922,126.983425,22.45,695.95
33,37.568999,126.983601,22.45,718.40
34,37.569076,126.983777,22.45,740.85
35,37.569153,126.983953,22.45,763.30
36,37.569230,126.984129,22.45,785.75
37,37.569307,126.984305,22.45,808.20
38,37.569384,126.984481,22.45,830.65
39,37.569461,126.984657,22.45,853.10
40,37.569538,126.984833,22.45,875.55
41,37.569615,126.985009,22.45,898.00
42,37.569692,126.985185,22.45,920.45
43,37.569769,126.985361,22.45,942.90
44,37.569846,126.985537,22.45,965.35
45,37.569923,126.985713,22.45,987.80
46,37.570000,126.985889,22.45,1010.25
47,37.570077,126.986065,22.45,1032.70
48,37.570154,126.986241,22.45,1055.15
49,37.570231,126.986417,22.45,1077.60
50,37.570308,126.986593,22.45,1100.05
